term,translation,category,status,confidence,source,chapterRefs,reviewer,reviewedAt,locked,notes,options,desc_en,desc_vi
open group,nhóm mở,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12,nhóm mở,"informal, loosely organized group of individuals who have no formal process for joining or leaving the group, and who focus on a specific activity or social cause","nhóm không chính thức, tổ chức lỏng lẻo, không có quy trình chính thức để tham gia hoặc rời khỏi, và tập trung vào một hoạt động hoặc mục tiêu xã hội cụ thể"
operational capacity,công suất vận hành,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12,công suất vận hành,number of units that can reasonably be expected to be produced within a specified time period,số lượng đơn vị có thể được kỳ vọng sản xuất một cách hợp lý trong một khoảng thời gian xác định
operational expenses,chi phí vận hành,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12,chi phí vận hành,"expenses associated with daily, ongoing activities of the business, such as inventory, office supplies, wages, insurance, and utilities","các khoản chi phí liên quan đến hoạt động thường xuyên hàng ngày của doanh nghiệp như hàng tồn kho, vật tư văn phòng, tiền lương, bảo hiểm và tiện ích"
operational reserve,dự trữ vận hành,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12,dự trữ vận hành,difference in unit capacity between absolute capacity and operational capacity,phần chênh lệch về công suất đơn vị giữa công suất tối đa tuyệt đối và công suất vận hành
outsourcing,thuê ngoài,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,thuê ngoài,"hiring an outside company or third party to perform a specific task, job, or process, or to manufacture goods","việc thuê một công ty bên ngoài hoặc bên thứ ba để thực hiện một nhiệm vụ, công việc hoặc quy trình cụ thể, hoặc để sản xuất hàng hóa"
pro forma,báo cáo tài chính dự kiến,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12,báo cáo tài chính dự kiến,financial statement that shows how much and where monies will be collected and spent in the early stages of business creation,báo cáo tài chính thể hiện số tiền sẽ được thu và chi như thế nào trong giai đoạn đầu của việc hình thành doanh nghiệp
production time,thời gian sản xuất,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12,thời gian sản xuất,amount of time that a machine is actually producing products that are to be sold; also called up time,khoảng thời gian mà máy thực sự sản xuất ra sản phẩm để bán; còn được gọi là thời gian hoạt động (up time)
self-performing,tự thực hiện,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12,tự thực hiện,when employees do most of the work in a business,trường hợp nhân viên thực hiện phần lớn công việc trong doanh nghiệp
total cost of ownership,tổng chi phí sở hữu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12,tổng chi phí sở hữu,"comprehensive cost of owning large capital items, including initial direct costs, operating direct costs, and indirect costs","tổng chi phí toàn diện khi sở hữu tài sản lớn, bao gồm chi phí trực tiếp ban đầu, chi phí vận hành trực tiếp và chi phí gián tiếp"
trade association,hiệp hội ngành nghề,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12,hiệp hội ngành nghề,"group of companies or employees of companies in a specific industry, business structure, or social cause","nhóm các công ty hoặc nhân viên của các công ty trong một ngành cụ thể, một loại hình kinh doanh hoặc một mục tiêu xã hội"
professional network,mạng lưới nghề nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12 (bổ sung),mạng lưới nghề nghiệp,"network of professional contacts that an individual builds and maintains for career, business, or knowledge exchange purposes","mạng lưới các mối quan hệ nghề nghiệp mà một cá nhân xây dựng và duy trì nhằm phục vụ phát triển sự nghiệp, kinh doanh hoặc trao đổi kiến thức"
relationship management,quản lý quan hệ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12 (bổ sung),quản lý quan hệ,"process of building, maintaining, and optimizing relationships with stakeholders such as customers, partners, and employees","quá trình xây dựng, duy trì và tối ưu hóa các mối quan hệ với các bên liên quan như khách hàng, đối tác và nhân viên"
network leverage,khai thác giá trị từ mạng lưới,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12 (bổ sung),khai thác giá trị từ mạng lưới,"use of one’s professional network to gain access to resources, information, opportunities, or influence","việc tận dụng các mối quan hệ trong mạng lưới để tiếp cận nguồn lực, thông tin, cơ hội hoặc tạo ảnh hưởng"
collaboration strategy,chiến lược hợp tác,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 12 (bổ sung),chiến lược hợp tác,plan outlining how an organization works with partners or stakeholders to achieve shared goals,kế hoạch xác định cách thức một tổ chức hợp tác với đối tác hoặc các bên liên quan nhằm đạt được mục tiêu chung
b corporation,doanh nghiệp B Corp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,doanh nghiệp B Corp,"business that meets a very high standard of social and environmental performance, public transparency, and accountability to balance profit with social purpose","doanh nghiệp đáp ứng các tiêu chuẩn rất cao về hiệu quả xã hội và môi trường, tính minh bạch công khai và trách nhiệm giải trình nhằm cân bằng giữa lợi nhuận và mục tiêu xã hội"
business purpose,mục đích kinh doanh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,mục đích kinh doanh,"reason the entrepreneur forms the company and determines who benefits from it, whether it is the entrepreneur, customers, or some other entity","lý do mà doanh nhân thành lập doanh nghiệp và xác định ai là đối tượng hưởng lợi từ doanh nghiệp đó, có thể là doanh nhân, khách hàng hoặc một chủ thể khác"
business structure,cấu trúc doanh nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,cấu trúc doanh nghiệp,legal organization of a business; also called entity selection,hình thức tổ chức pháp lý của một doanh nghiệp; còn được gọi là lựa chọn loại hình pháp nhân
c corporation,công ty C,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,công ty C,"corporation taxed the corporate level, and then again on the owners’ personal income tax returns if corporate income is distributed to the shareholders as dividends","công ty chịu thuế ở cấp độ doanh nghiệp, và sau đó tiếp tục bị đánh thuế trên tờ khai thuế thu nhập cá nhân của các chủ sở hữu nếu thu nhập của công ty được phân phối cho các cổ đông dưới dạng cổ tức"
capital,vốn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,vốn,money raised for operating a business,số tiền được huy động để vận hành doanh nghiệp
corporation,công ty cổ phần,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,công ty cổ phần,complex business structure created by filing the appropriate documents with the state of incorporation,loại hình doanh nghiệp có cấu trúc pháp lý phức tạp được hình thành bằng cách nộp các tài liệu phù hợp với cơ quan đăng ký thành lập theo quy định của bang
economic nexus,liên kết kinh tế,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,liên kết kinh tế,virtual connection with a state based on sales volume or number of transactions,mối liên kết kinh tế “ảo” với một bang dựa trên khối lượng doanh số hoặc số lượng giao dịch
enterprise risk management,quản trị rủi ro doanh nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,quản trị rủi ro doanh nghiệp,integrated cross-disciplinary approach to monitoring risk,"phương pháp tích hợp, liên ngành nhằm giám sát và quản lý rủi ro"
equity crowdfunding,gọi vốn cộng đồng bằng vốn cổ phần,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,gọi vốn cộng đồng bằng vốn cổ phần,raising of capital through the online sale of securities to the general public,việc huy động vốn thông qua việc bán chứng khoán trực tuyến cho công chúng
financial risk,rủi ro tài chính,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,rủi ro tài chính,starting a new business with insufficient funds to sustain operations over an extended period of time,rủi ro phát sinh khi bắt đầu kinh doanh với nguồn vốn không đủ để duy trì hoạt động trong một khoảng thời gian dài
for-profit business,doanh nghiệp vì lợi nhuận,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,doanh nghiệp vì lợi nhuận,business structure designed to create profits that are distributed to the owners,loại hình doanh nghiệp được thiết kế nhằm tạo ra lợi nhuận và phân phối lợi nhuận đó cho các chủ sở hữu
general partnership,hợp danh chung,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,hợp danh chung,business created when two or more individuals or entities agree to work together to operate a business for profit,doanh nghiệp được hình thành khi hai hoặc nhiều cá nhân hoặc tổ chức đồng ý hợp tác để vận hành một hoạt động kinh doanh nhằm mục đích lợi nhuận
insurance,bảo hiểm,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,bảo hiểm,spreading risk over a large number of people (policyholders),việc phân tán rủi ro trên một số lượng lớn các cá nhân (những người tham gia bảo hiểm)
legal risk,rủi ro pháp lý,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,rủi ro pháp lý,"risk stemming primarily from a breach of contract, a regulatory violation, and/or the commission of a tort","rủi ro phát sinh chủ yếu từ việc vi phạm hợp đồng, vi phạm quy định pháp luật và/hoặc thực hiện hành vi vi phạm dân sự"
limited liability company (llc),công ty trách nhiệm hữu hạn (LLC),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,công ty trách nhiệm hữu hạn (LLC),hybrid of a corporation and a partnership that limits the owners’ liability,"loại hình kết hợp giữa công ty cổ phần và hợp danh, trong đó trách nhiệm của chủ sở hữu được giới hạn"
limited liability partnership (llp),hợp danh trách nhiệm hữu hạn (LLP),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,hợp danh trách nhiệm hữu hạn (LLP),"business arrangement for professional partnerships, such as law firms or accounting firms, in which partners are licensed professionals, with limited liability for financial obligations related to contracts or torts, but full liability for their own personal malpractice","hình thức tổ chức dành cho các hợp danh chuyên môn như công ty luật hoặc kế toán, trong đó các đối tác là những người có giấy phép hành nghề, có trách nhiệm hữu hạn đối với các nghĩa vụ tài chính liên quan đến hợp đồng hoặc vi phạm dân sự, nhưng chịu trách nhiệm đầy đủ đối với sai sót nghề nghiệp của chính mình"
limited partnership (lp),hợp danh hữu hạn (LP),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,hợp danh hữu hạn (LP),business arrangement that has at least one general partner and one or more limited partners,hình thức hợp danh có ít nhất một thành viên hợp danh và một hoặc nhiều thành viên góp vốn
not-for-profit organization (nfpo),tổ chức phi lợi nhuận (NFPO),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,tổ chức phi lợi nhuận (NFPO),business structure that is usually dedicated to furthering a particular social cause or advocacy related to a common shared interest by using its surplus revenues to achieve its ultimate objective,"loại hình tổ chức thường hướng tới việc thúc đẩy một mục tiêu xã hội cụ thể hoặc hoạt động vận động liên quan đến lợi ích chung, bằng cách sử dụng phần doanh thu dư thừa để đạt được mục tiêu cuối cùng"
partnership,hợp danh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,hợp danh,"business entity formed by two or more individuals, or partners, each of whom contributes something such as capital, equipment, or skills","loại hình doanh nghiệp được hình thành bởi hai hoặc nhiều cá nhân (các đối tác), trong đó mỗi người đóng góp một yếu tố như vốn, thiết bị hoặc kỹ năng"
privately held corporation,công ty tư nhân (không niêm yết),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,công ty tư nhân (không niêm yết),"company that does not allow members of the investing public to own stock; instead, it is owned by the founder’s family or friends, or a private group of investors","công ty không cho phép công chúng đầu tư sở hữu cổ phần; thay vào đó, công ty thuộc sở hữu của gia đình, bạn bè của người sáng lập hoặc một nhóm nhà đầu tư tư nhân"
public corporation,công ty công,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,công ty công,"quasi-governmental entity, a corporation owned or sponsored by the government","thực thể mang tính bán chính phủ, là công ty do nhà nước sở hữu hoặc tài trợ"
publicly held corporation,công ty đại chúng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,công ty đại chúng,entity in which members of the investing public own the stock,công ty mà công chúng đầu tư nắm giữ cổ phần
s corporation,công ty S,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,công ty S,"“pass-through” entity, also known as a small corporation, where shareholders report and claim the business’s profits as their own and pay personal income taxes on it","loại hình “chuyển thuế”, còn gọi là công ty nhỏ, trong đó cổ đông khai báo và nhận lợi nhuận của doanh nghiệp như thu nhập cá nhân và nộp thuế thu nhập cá nhân cho khoản đó"
sole proprietorship,doanh nghiệp tư nhân,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13,doanh nghiệp tư nhân,business entity that is owned and managed by one individual that has very little formal structure and no mandatory filing/registration with the state,"loại hình doanh nghiệp do một cá nhân sở hữu và điều hành, có rất ít cấu trúc chính thức và không yêu cầu đăng ký/báo cáo bắt buộc với nhà nước"
regulatory environment,môi trường pháp lý,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13 (bổ sung),môi trường pháp lý,"set of laws, regulations, and policies governing how businesses operate","hệ thống các luật, quy định và chính sách điều chỉnh hoạt động của doanh nghiệp"
legal compliance,tuân thủ pháp luật,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13 (bổ sung),tuân thủ pháp luật,"adherence to laws, regulations, and industry standards applicable to a business","việc doanh nghiệp tuân thủ các quy định pháp luật, quy chuẩn và tiêu chuẩn ngành có liên quan"
ownership structure,cơ cấu sở hữu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13 (bổ sung),cơ cấu sở hữu,distribution of ownership rights and equity among shareholders or owners,cách thức phân bổ quyền sở hữu và vốn cổ phần giữa các chủ sở hữu hoặc cổ đông
contractual agreement,thỏa thuận hợp đồng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 13 (bổ sung),thỏa thuận hợp đồng,legally binding agreement between parties outlining rights and obligations,"thỏa thuận có tính ràng buộc pháp lý giữa hai hoặc nhiều bên, quy định rõ quyền và nghĩa vụ của các bên liên quan."
advisory board,hội đồng cố vấn,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,hội đồng cố vấn,"group of advisors that helps an organization make strategic decisions about the business, bringing certain knowledge and experience that can bring a new perspective on issues without having the actual authority to vote or govern","nhóm các cố vấn giúp tổ chức đưa ra các quyết định chiến lược về hoạt động kinh doanh, mang đến kiến thức và kinh nghiệm nhất định nhằm cung cấp góc nhìn mới về các vấn đề mà không có quyền biểu quyết hay quyền quản trị chính thức"
decision tree,cây quyết định,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,cây quyết định,flowchart diagram used to explore the outcomes of different decisions,sơ đồ dạng lưu đồ được sử dụng để khám phá các kết quả của những quyết định khác nhau
economic factors,các yếu tố kinh tế,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,các yếu tố kinh tế,"inflation, interest, employment, and currency exchange rates, and other factors that impact the business owner's pricing of goods or services, the demand for such services, and the cost of production","các yếu tố như lạm phát, lãi suất, việc làm và tỷ giá hối đoái (cùng nhiều yếu tố khác) ảnh hưởng đến việc định giá hàng hóa hoặc dịch vụ của chủ doanh nghiệp, nhu cầu đối với các dịch vụ đó và chi phí sản xuất"
funding sources,nguồn vốn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 14,nguồn vốn,monetary resources used by the entrepreneur in the operation of the initial startup and early business,các nguồn lực tài chính được doanh nhân sử dụng trong quá trình vận hành giai đoạn khởi nghiệp ban đầu và giai đoạn đầu của doanh nghiệp
human resources,nguồn nhân lực,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,nguồn nhân lực,"people hired by the entrepreneur to perform various duties in the business, provide customer service, or produce the goods","những người được doanh nhân tuyển dụng để thực hiện các nhiệm vụ khác nhau trong doanh nghiệp, cung cấp dịch vụ khách hàng hoặc sản xuất hàng hóa"
independent contractors,nhà thầu độc lập,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 14,nhà thầu độc lập,"(also, freelancer) people or businesses that provide work similar to an employee without being part of the payroll for the contracting business, and who pay their own taxes and pay for their own benefits","(còn gọi là freelancer) các cá nhân hoặc doanh nghiệp cung cấp công việc tương tự như nhân viên nhưng không thuộc biên chế trả lương của doanh nghiệp thuê họ, và tự chịu trách nhiệm nộp thuế cũng như chi trả các phúc lợi của mình"
intangible resources,nguồn lực vô hình,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,nguồn lực vô hình,"assets that cannot be seen, touched, or felt, such as intellectual property, patents, designs, and processes","các tài sản không thể nhìn thấy, chạm vào hoặc cảm nhận được, như tài sản trí tuệ, bằng sáng chế, thiết kế và quy trình"
line of credit,hạn mức tín dụng,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,hạn mức tín dụng,lending of funds in exchange for a promise to repay,việc cho vay vốn để đổi lấy cam kết hoàn trả
pest framework,mô hình PEST,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,mô hình PEST,"framework that can be used to distinguish political, economic, sociocultural, and technological factors influencing access to needed resources","mô hình được sử dụng để phân biệt các yếu tố chính trị, kinh tế, xã hội–văn hóa và công nghệ ảnh hưởng đến khả năng tiếp cận các nguồn lực cần thiết"
political factors,các yếu tố chính trị,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,các yếu tố chính trị,"stem from changes in politics, such as the policies of a new presidential administration or congressional legislation, as well as of state and local offices","phát sinh từ những thay đổi trong chính trị, chẳng hạn như các chính sách của chính quyền mới hoặc các đạo luật của cơ quan lập pháp, cũng như từ cấp bang và địa phương"
pre-launch costs,chi phí trước khi ra mắt,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,chi phí trước khi ra mắt,cost of all the resources needed to open the business to the public,chi phí của toàn bộ các nguồn lực cần thiết để đưa doanh nghiệp ra hoạt động công khai
quota,hạn ngạch,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 14,hạn ngạch,"specific number of units allowed into a country; sometimes quotas are limited to one source, such as one country, and sometimes the limit is placed on aggregate quantity regardless of source(s)","số lượng đơn vị cụ thể được phép nhập vào một quốc gia; đôi khi hạn ngạch chỉ áp dụng cho một nguồn, chẳng hạn như một quốc gia, và đôi khi giới hạn được áp dụng cho tổng số lượng bất kể nguồn"
resource dependence theory (rdt) model,mô hình lý thuyết phụ thuộc nguồn lực (RDT),other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,mô hình lý thuyết phụ thuộc nguồn lực (RDT),"model creating networks with business partners through mergers, vertical integration, joint ventures, or engaging in joint political activities to slow dependency among member groups","mô hình tạo lập mạng lưới với các đối tác kinh doanh thông qua sáp nhập, tích hợp dọc, liên doanh hoặc tham gia các hoạt động chính trị chung nhằm giảm sự phụ thuộc giữa các nhóm thành viên"
service mark,nhãn hiệu dịch vụ,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,nhãn hiệu dịch vụ,"word, phrase, symbol, or graphic that identifies the origin or source of a service","từ, cụm từ, biểu tượng hoặc hình ảnh xác định nguồn gốc của một dịch vụ"
sociocultural factors,các yếu tố xã hội–văn hóa,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,các yếu tố xã hội–văn hóa,changes in how society is moving and the direction of that movement as it relates to a customer base and potential new markets,những thay đổi trong cách xã hội vận động và hướng đi của sự vận động đó liên quan đến tập khách hàng và các thị trường tiềm năng mới
tangible resources,nguồn lực hữu hình,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,nguồn lực hữu hình,"assets that have a physical form as they can be seen, touched, and felt","các tài sản có hình thái vật lý, có thể nhìn thấy, chạm và cảm nhận"
tariffs,thuế quan,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,thuế quan,taxes or duties that are added to imported goods from another nation,các loại thuế hoặc phí áp dụng lên hàng hóa nhập khẩu từ quốc gia khác
technological factors,các yếu tố công nghệ,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 14,các yếu tố công nghệ,technological equipment and tools the enterprise needs to be sure it operates efficiently,các thiết bị và công cụ công nghệ mà doanh nghiệp cần để đảm bảo hoạt động hiệu quả
resource optimization,tối ưu hóa nguồn lực,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 14 (bổ sung),tối ưu hóa nguồn lực,efficient allocation and utilization of resources to maximize output or value,quá trình phân bổ và sử dụng nguồn lực một cách hiệu quả nhằm tối đa hóa giá trị hoặc kết quả
capacity utilization,mức độ sử dụng công suất,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 14 (bổ sung),mức độ sử dụng công suất,extent to which an organization uses its production capacity,mức độ mà doanh nghiệp sử dụng công suất sản xuất hiện có
operational efficiency,hiệu quả vận hành,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 14 (bổ sung),hiệu quả vận hành,ability to deliver outputs with minimal waste and optimal resource use,khả năng vận hành với mức lãng phí tối thiểu và sử dụng nguồn lực tối ưu
resource constraints,hạn chế nguồn lực,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 14 (bổ sung),hạn chế nguồn lực,limitations on available resources that restrict operations or growth,"những giới hạn về mức độ sẵn có của các nguồn lực chủ chốt—như vốn, lao động, thời gian, công nghệ hoặc nguyên vật liệu—làm hạn chế khả năng vận hành, tăng trưởng hoặc đạt được mục tiêu của doanh nghiệp."
buyback clause,điều khoản mua lại,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 15,điều khoản mua lại,legal agreement regarding an exit by a founding team member prior to the harvesting of the venture,thỏa thuận pháp lý liên quan đến việc một thành viên sáng lập rút lui trước khi doanh nghiệp thu được thành quả
code of conduct,quy tắc ứng xử,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15,quy tắc ứng xử,formal statement that provides guidance on how ethical conduct is demonstrated,tuyên bố chính thức cung cấp hướng dẫn về cách thể hiện hành vi đạo đức
company culture,văn hóa công ty,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 15,văn hóa công ty,"shared beliefs, values and assumptions held by people regarding how to behave or conduct themselves within the context of fitting into an organization","các niềm tin, giá trị và giả định chung của mọi người về cách hành xử hoặc cư xử để phù hợp trong một tổ chức"
delphi method,phương pháp Delphi,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 15,phương pháp Delphi,"group decision-making process that includes a diverse group of people who are located at different locations and willing to respond to a series of questionnaires to assist in providing ideas, information or solutions to a defined question or problem","phương pháp ra quyết định nhóm gồm nhiều người đa dạng ở các địa điểm khác nhau, sẵn sàng trả lời một loạt bảng câu hỏi để hỗ trợ đưa ra ý tưởng, thông tin hoặc giải pháp cho một câu hỏi hoặc vấn đề xác định"
escalation of commitment,sự leo thang cam kết,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 15,sự leo thang cam kết,tendency to continue with a predetermined action based on the past efforts and contributions to the project rather than an analysis of the current realities that disclose a new solution or approach is necessary,xu hướng tiếp tục một hành động đã định trước dựa trên nỗ lực và đóng góp trong quá khứ thay vì phân tích thực tế hiện tại cho thấy cần một giải pháp hoặc cách tiếp cận mới
fail-safe point,điểm an toàn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15,điểm an toàn,identified point that triggers the entrepreneur to consider what actions are needed to bring the venture back to a healthy position and whether this action is reasonable and feasible,điểm được xác định kích hoạt doanh nhân cân nhắc các hành động cần thiết để đưa doanh nghiệp trở lại trạng thái lành mạnh và liệu hành động đó có hợp lý và khả thi hay không
founders’ agreement,thỏa thuận giữa các nhà sáng lập,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15,thỏa thuận giữa các nhà sáng lập,"written document that addresses contractual topics such as division of equity, compensation, contributions to the venture, and commitments to the venture with timelines included","tài liệu bằng văn bản đề cập đến các vấn đề hợp đồng như phân chia cổ phần, thù lao, đóng góp cho doanh nghiệp và các cam kết với doanh nghiệp kèm theo mốc thời gian"
gantt chart,biểu đồ Gantt,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 15,biểu đồ Gantt,bar chart used to organize and plan sequential steps in a process,biểu đồ dạng thanh dùng để tổ chức và lập kế hoạch các bước tuần tự trong một quy trình
hindsight bias,thiên kiến nhìn lại,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 15,thiên kiến nhìn lại,"belief that, in retrospect, the outcome was predictable when the outcome wasn't predictable due to various uncontrollable factors",niềm tin rằng khi nhìn lại thì kết quả có thể dự đoán được trong khi thực tế không thể dự đoán do nhiều yếu tố không kiểm soát được
hubris,sự tự cao,other,approved,medium,auto,,,,false,Source: Extracted from Chapter 15,sự tự cao,overinflated belief in oneself,niềm tin quá mức vào bản thân
lifestyle business,doanh nghiệp phục vụ lối sống,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15,doanh nghiệp phục vụ lối sống,business that provides incomes similar to other forms of employment,doanh nghiệp mang lại thu nhập tương tự các hình thức việc làm khác
nominal group technique,kỹ thuật nhóm danh nghĩa,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15,kỹ thuật nhóm danh nghĩa,group decision-making process that requests multiple rounds of responses and discussions of response,phương pháp ra quyết định nhóm yêu cầu nhiều vòng phản hồi và thảo luận về các phản hồi
nondisclosure agreement,thỏa thuận không tiết lộ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15,thỏa thuận không tiết lộ,formal agreement that the person signing the document will not sharing proprietary information with outside sources,thỏa thuận chính thức rằng người ký sẽ không chia sẻ thông tin độc quyền với bên ngoài
planning fallacy,ngụy biện lập kế hoạch,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15,ngụy biện lập kế hoạch,creation of a plan that is too optimistic and not aligned with conservative assumptions,việc lập kế hoạch quá lạc quan và không phù hợp với các giả định thận trọng
social capital,vốn xã hội,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15,vốn xã hội,goodwill that is created through helping someone else,thiện chí được tạo ra thông qua việc giúp đỡ người khác
status quo bias,thiên kiến hiện trạng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15,thiên kiến hiện trạng,pattern of relying on previous actions and results as the accepted pattern and outcome with a bias against change or new information or new results,"xu hướng dựa vào các hành động và kết quả trước đây như chuẩn mực chấp nhận, thiên lệch chống lại sự thay đổi hoặc thông tin hay kết quả mới"
strategic decision-making,ra quyết định chiến lược,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15 (bổ sung),ra quyết định chiến lược,process of making high-level decisions that determine the long-term direction and competitive positioning of an organization.,quá trình đưa ra các quyết định cấp cao nhằm định hướng dài hạn và xác lập vị thế cạnh tranh của tổ chức.
business continuity,duy trì hoạt động kinh doanh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15 (bổ sung),duy trì hoạt động kinh doanh,ability of a business to maintain essential operations during and after disruptions or crises.,khả năng của doanh nghiệp trong việc duy trì các hoạt động cốt lõi trong và sau các sự cố hoặc khủng hoảng.
entrepreneurial transition,chuyển đổi vai trò doanh nhân,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15 (bổ sung),chuyển đổi vai trò doanh nhân,"process by which an entrepreneur shifts roles, responsibilities, or leadership style as the business evolves.","quá trình doanh nhân thay đổi vai trò, trách nhiệm hoặc phong cách lãnh đạo khi doanh nghiệp phát triển qua các giai đoạn khác nhau."
long-term planning,hoạch định dài hạn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 15 (bổ sung),hoạch định dài hạn,"strategic planning process that sets goals and actions over an extended time horizon, typically several years.","quá trình lập kế hoạch chiến lược nhằm xác định mục tiêu và hành động trong một khoảng thời gian dài, thường kéo dài nhiều năm."
entrepreneur in action,doanh nhân thực chiến,other,approved,medium,auto,,,,false,Source: Cập nhật thủ công,doanh nhân thực chiến/mục chuyên đề doanh nhân thực chiến,feature box title,
entrepreneurship in action,khởi nghiệp thực chiến,other,approved,medium,auto,,,,false,Source: Cập nhật thủ công,khởi nghiệp thực chiến/mục chuyên đề khởi nghiệp thực chiến,feature box title,
american micro devices,American Micro Devices,other,approved,medium,auto,,,,false,Tên riêng,,,
arrington,Arrington,other,approved,medium,auto,,,,false,Tên riêng,,,
bayh-dole act,Bayh-Dole Act,other,approved,medium,auto,,,,false,Tên riêng,,,Đạo luật Bayh-Dole (luật sửa đổi quy định về sở hữu trí tuệ tại Hoa Kỳ)
business for social responsibility,Business for Social Responsibility,other,approved,medium,auto,,,,false,Tên riêng,,,
business roundtable,Business Roundtable,other,approved,medium,auto,,,,false,Tên riêng,,,Một hiệp hội phi lợi nhuận gồm các CEO của các công ty hàng đầu Hoa Kỳ
clayton act,Clayton Act,other,approved,medium,auto,,,,false,Tên riêng,,,Đạo luật Clayton (đạo luật chống độc quyền của Hoa Kỳ)
